title,company,location,contract
اسکرام مستر (پروژه نرم افزاری-اصفهان),فنی مهندسی آینده‌سازان پردازش امن (آسپا) | ASPA Engineering Co,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس ارشد ++C (آقا),هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی (آقا),هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
WordPress Plugin Developer (دورکاری),ورونالبز | VeronaLabs,تهران، تهران,قرارداد دورکاری  
برنامهنویس Back-End (Laravel-مشهد),آی تی پایدار | IT Paydar,خراسان رضوی، مشهد,قرارداد تماموقت  
Front-End Developer,نوآوران تجارت پارس | Noavaran,تهران، تهران,قرارداد تماموقت  
طراح سایت (وردپرس-خانم),فخرآفرینان | Fakhrafarinan,تهران، تهران,قرارداد تماموقت  
سوپروایزر QA,شبکه اطلاع رسانی طلا، سکه و ارز | TGJU,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد استقرار نرمافزار,آپتایم | OPTime,تهران، تهران,قرارداد تماموقت  
Laravel Developer (مشهد),امام هشت | emam8,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس سیستم و مجازیسازی (Sysadmin & Virtualization Specialist),دیجی‌پی  | Digipay,تهران، تهران,قرارداد تماموقت  
مدیر تیم تست نرم افزار,فلای تودی | Flytoday,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی IT,سراج سبز | Seraj Sabz,تهران، تهران,قرارداد تماموقت  
کارشناس برنامهنویس.NET,سلامت الکترونیکی تامین | SATA,البرز، کرج,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار (آقا),سلامت الکترونیکی تامین | SATA,تهران، تهران,قرارداد تماموقت  
PHP) Senior Back-End Developer-مشهد),آساسیستم یگانه | Asa System Yeganeh,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پشتیبانی و ارتباطات فنی (API & Web Services),طاها گشت | Tahagasht,تهران، تهران,قرارداد تماموقت  
Python back-End Developer (System Approach-زنجان),گروه توسعه سیستم سانای شرق | Sanay System Development,زنجان، زنجان,قرارداد تماموقت  
برنامهنویس ++C/C (آقا),هوشان کاوش برنا  | Hooshan Kavoosh Borna,تهران، تهران,قرارداد تماموقت  
برنامهنویس Node JS) Full-Stack-تبریز),آکام پرنیان | ICTSG,آذربایجان شرقی، تبریز,قرارداد تماموقت  
برنامهنویس بک اند (Javascript-آقا),هوشان کاوش برنا  | Hooshan Kavoosh Borna,تهران، تهران,قرارداد تماموقت  
برنامهنویس دات نت (.NET),لندر  | LANDER,تهران، تهران,قرارداد تماموقت  
کارشناس تست و مستندسازی (QA),موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,قرارداد تماموقت  
