title,company,location,contract
کارشناس هوش تجاری (عملیات-BI),توسعه سامانه‌های نرم‌افزاری نگین (توسن) | Tosan,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Full-Stack (Django/React,آژانس دیجیتال مارکتینگ سمفونی | Samphoni Digital Marketing Agency,تهران، تهران,قرارداد تماموقت  
برنامهنویس Flutter(مشهد),کیف پول من | KifPool.me,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس C++/QT (دورکاری-کرج),رونیا سافت | RONIA SOFT,البرز، کرج,قرارداد دورکاری  
(Tech Lead (SME Banking,ارزش آفرین اطلس | Atlas Value Creation co,تهران، تهران,قرارداد تماموقت  
برنامهنویس PHP (وردپرس),تلویزیون اینترنتی رسانا تی وی | Resana Tv,تهران، تهران,قرارداد تماموقت  
کارشناس کنترل پروژه نرمافزاری (کرج-دورکاری),رونیا سافت | RONIA SOFT,البرز، کرج,قرارداد دورکاری  
مدیر پروژه نرمافزاری (کرج-دورکاری),رونیا سافت | RONIA SOFT,البرز، کرج,قرارداد دورکاری  
طراح سایت ورپرس (Wordpress),فیدار وب | Fidar Web,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End (آقا-تبریز),نت پرداز آذر | netpardaz azar,آذربایجان شرقی، تبریز,قرارداد تماموقت  
کارآموز سئو,سایان داده پرداز مبین | CYANDM,تهران، تهران,قرارداد تماموقت  
Software Engineer (Rust/Bitcoin),فناوران آسمان بیست و یکم (سهامی خاص) | Fanavarane Asemane Bist-o-yekom,تهران، تهران,قرارداد تماموقت  
برنامهنویس موبایل React Native (آقا-اصفهان),فناوری اطلاعات باربد | IT Barbod,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس Laravel (اصفهان),گروه صنعتی انتخاب الکترونیک | Entekhab Electronic Industrial Group,اصفهان، اصفهان,قرارداد تماموقت  
WordPress Developer (دورکاری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد دورکاری  
WordPress Developer (حضوری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد تماموقت  
(Python/Django) Senior Back-End Developer,حامی پیشگامان  | Hamipishgaman,تهران، تهران,قرارداد تماموقت  
متخصص وردپرس (دورکاری-اصفهان),بایو گرین | Biogreens,اصفهان، اصفهان,قرارداد دورکاری  
کارشناس تست و پشتیبانی نرم افزار,تدبیر کیش ویرا | Tadbir Kish Vira,تهران، تهران,قرارداد تماموقت  
برنامهنویس فول استک,متا سینا | Metacena,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer,متا سینا | Metacena,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer-شیراز),کافه ارز | Cafearz,فارس، شیراز,قرارداد تماموقت  
طراح سایت (دورکاری),سیلا دیجیتال | Sila Digital,تهران، تهران,قرارداد دورکاری  
کارشناس پشتیبانی فنی,اکسون | Axon,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (استاندارد-BPMS-مشهد),گروه مهندسی آی کن | ICAN,خراسان رضوی، مشهد,قرارداد تماموقت  
Machine Learning Engineer,ایرانسل لبز | Irancell Labs,تهران، تهران,قرارداد تماموقت  
Senior .Net Developer,توایکس | TwoX,تهران، تهران,قرارداد تماموقت  
کارشناس محصول نرم افزاری,هوش مصنوعی آدان | AdanAI,تهران، تهران,قرارداد تماموقت  
پشتیبان تولید و ارزیابی محصول,هوش مصنوعی آدان | AdanAI,تهران، تهران,قرارداد تماموقت  
برنامهنویس React) Front-End-خانم),آی تی ساز | ITSaaZ,تهران، تهران,قرارداد تماموقت  
Node.js) Senior Back-End Developer-مشهد),بارو سازان لیان امیری | Baro Sazan Liyan Amiri,خراسان رضوی، مشهد,قرارداد تماموقت  
َAssembly Developer,پایا | Paya,تهران، تهران,قرارداد تماموقت  
توسعهدهنده ارشد بکاند (Java Backend Developer),فناوری مکاترونیک آکام | ACAM Mechatronic Tech. Co.,تهران، تهران,قرارداد تماموقت  
برنامهنویس HubSpot (دورکاری),وب آریو | Web Ario,تهران، تهران,قرارداد دورکاری  
Golang Developer (دورکاری),آموزشگاه آشپزی آرسس شف | Arses Culinary Academy,تهران، تهران,قرارداد دورکاری  
کارشناس پشتیبانی (سراوان),ایران ارقام | Iran Argham,سیستان و بلوچستان، سراوان,قرارداد تماموقت  
کارشناس پشتیبانی (آقا-ارومیه),ایران ارقام | Iran Argham,آذربایجان غربی، ارومیه,قرارداد تماموقت  
برنامهنویس دات نت (NET.),سماپرداز | SamaPardaz,تهران، تهران,قرارداد تماموقت  
برنامهنویس Flutter (دورکاری),راهکار برنامه نویسی ویرا  | Vira Programming Solution,تهران، تهران,قرارداد دورکاری  
Haskell Developer,پایا | Paya,تهران، تهران,قرارداد تماموقت  
اسکرام مستر,داتین | Dotin,تهران، تهران,قرارداد تماموقت  
Senior Software Engineer (B2B),دیجی‌‌کالا | Digikala,تهران، تهران,قرارداد تماموقت  
توسعهدهنده React (مشهد),بارو سازان لیان امیری | Baro Sazan Liyan Amiri,خراسان رضوی، مشهد,قرارداد تماموقت  
متخصص وردپرس (اصفهان),کاروکمپ | KAROCAMP,اصفهان، اصفهان,قرارداد پارهوقت  
کارشناس ارشد وبسایت,هلدینگ مهاجر  | Holding Mohajer,تهران، تهران,قرارداد تماموقت  
Python Developer (Scraping),اگزا | Exa DataScience Lab,تهران، تهران,قرارداد تماموقت  
Back-End) Senior Java Developer),پایشگران مديريت طرح | Payeshgaran MT,تهران، تهران,قرارداد تماموقت  
Senior Golang Developer (امریه سربازی),پایا | Paya,تهران، تهران,قرارداد تماموقت  
توسعه دهنده ورکفلو (workflow developer-دورکاری),n8n ایران | n8n iran,تهران، تهران,قرارداد دورکاری  
طراح و گرافیست (هوش مصنوعی-آقا-مشهد),سجاد راه ابریشم | Sajjad Rahe Abrisham,خراسان رضوی، مشهد,قرارداد تماموقت  
Web Data Extraction Engineer (Python),اگزا | Exa DataScience Lab,تهران، تهران,قرارداد تماموقت  
تحلیلگر کسب و کار (خانم),آئین | Aien,تهران، تهران,قرارداد تماموقت  
Senior iOS Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Node.js) Senior Back-End Developer-دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Golang Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Data Scientist(دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Shopify Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Backend Developer (Python),فیروزه دیجیتال | Turquoise Digital,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer(دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Wordpress Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Front-End Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
Senior Android Developer (دورکاری),کوکافه | KooCafe,تهران، تهران,قرارداد دورکاری  
برنامه نویس فرانت اند (React js-اصفهان),فنی و مهندسی فناوران گستر ارد | Orod TD,اصفهان، اصفهان,قرارداد تماموقت  
React-Node.js) Senior Full-Stack Developer-مشهد),بارو سازان لیان امیری | Baro Sazan Liyan Amiri,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس (Full-Stack (.NET,موسسه حسابرسی هوشیار ممیز | Hooshyar Momayez Audit Firm,تهران، تهران,قرارداد تماموقت  
برنامهنویس Python) Back-End-آقا-قم),هدایت فناورانه تحقیقات هم آوا | Hamava,قم، قم,قرارداد پارهوقت  
برنامهنویس .NET,آزمون یار | Azmoonyar,تهران، تهران,قرارداد تماموقت  
کارآموز برنامهنویسی Front-End (React),آژانس تبلیغاتی آلفا | Alfa Social Media Marketing Agency,تهران، تهران,قرارداد تماموقت  
NestJS Developer,پردازش بین الملل مانا | Pardazesh Beinolmelal mAnA,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار,هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
طراح وب سایت,آموزشگاه فنی و حرفه ای علوی | Alavi technical and vocational education and training,تهران، تهران,قرارداد تماموقت  
ادمین سایت,آموزشگاه فنی و حرفه ای علوی | Alavi technical and vocational education and training,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی نرمافزار (سیستمهای مالی),مهندسی نرم افزار رایورز | Rayvarz Software Engineering Company,تهران، تهران,قرارداد تماموقت  
توسعهدهنده فرآیندهای ERP (BPMS),مهندسی نرم افزار رایورز | Rayvarz Software Engineering Company,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی نرمافزار (بهای تمام شده),مهندسی نرم افزار رایورز | Rayvarz Software Engineering Company,تهران، تهران,قرارداد تماموقت  
طراح سایت (وردپرس),آموزشگاه فنی و حرفه ای علوی | Alavi technical and vocational education and training,تهران، تهران,قرارداد تماموقت  
Full-Stack Web3 Engineer (Solana/Rust),تیم دانش‌بنیان پتاپروس | PetaProc,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer (آقا-دورکاری),داتوس تک | Datoos Tech,تهران، تهران,قرارداد دورکاری  
برنامهنویس Laravel) PHP-اصفهان),جویشگر پردیس ارم | Jooyeshgar Pardis Eram,اصفهان، اصفهان,قرارداد تماموقت  
Data Platform Engineer,بیت‌ پین | Bitpin,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد پایگاه داده (DBA-مشهد),خدمات گردشگری یوتراوز  | UTRAVS,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پایگاه داده,سلامت الکترونیکی تامین | SATA,تهران، تهران,قرارداد تماموقت  
Java Developer,توسعه فناوری سوشیانت | Soshyant,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Net.,همکاران سیستم | System Group,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد .NET (مشهد),همکاران سیستم | System Group,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس فرانت اند (Front-End (Vue.Js,نوین آوازه گران فرا وب | Novin Avazeh Garan Fara Web,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد تست نرمافزار (Senior QA Engineer),تومن | Toman,تهران، تهران,قرارداد تماموقت  
پشتیبان وردپرس,آژانس سئودو | Seodo,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد تحول دیجیتال,داده کاوان هوشمند نارگان | Datall,تهران، تهران,قرارداد تماموقت  
متخصص وردپرس,آژانس سئودو | Seodo,تهران، تهران,قرارداد تماموقت  
Senior Back-End Developer,دانش بنیان تارنماگستر | Tarnamagostar,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار و سخت افزار (آقا),سامانه هوشمند ماداکتو | Madakto,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Front-End (خانم-اصفهان-دورکاری),بارمان اتوماسیون سایا | Barman Automation Saya,اصفهان، اصفهان,قرارداد دورکاری  
توسعهدهنده وردپرس (WordPress Developer-رشت),سون هاست | Seven Host,گیلان، رشت,قرارداد تماموقت  
کارشناس طراحی نرمافزار (Software Designer),بهسازان ملت (بانک ملت) | Behsazan Mellat (Bank Mellat),تهران، تهران,قرارداد تماموقت  
کارشناس نصب و پشتیبانی (مشهد),سامانه هوشمند ماداکتو | Madakto,خراسان رضوی، مشهد,قرارداد تماموقت  
طراح سایت وردپرس (Wordpress-شیراز),شرکت طراحی وب زئوس | zeuswebdesign company,فارس، شیراز,قرارداد تماموقت  
برنامهنویس بکاند (Django / REST-یزد),توسعه اطلاعات مالی ایساتیس پویا | Development of Dynamic Financial Information Isatis Pooya,یزد، یزد,قرارداد تماموقت  
برنامه نویس #C (مشهد),سامانه هوشمند ماداکتو | Madakto,خراسان رضوی، مشهد,قرارداد تماموقت  
مدیر پشتیبانی نرمافزار,توسعه اعتماد وثوق گستر | Tosee Etemad Vosouq Gostar,تهران، تهران,قرارداد تماموقت  
طراح ارشد سایت,ایزی وب | Ezweb,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبان نرمافزار,ستیران | Setiran,تهران، تهران,قرارداد تماموقت  
توسعهدهنده API-.NET) JavaScript),سرزمین هوشمند پاد | Pod,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد پایتون (آقا),داده پردازی نوین | Dew Data Proccesing,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer),نرم افزاری آدا | Ada Company,تهران، تهران,قرارداد تماموقت  
مدیر پروژه (طراحی سایت),ایزی وب | Ezweb,تهران، تهران,قرارداد تماموقت  
برنامهنویس Laravel (آقا-مشهد),آریا گستران | Arya Gostaran,خراسان رضوی، مشهد,قرارداد تماموقت  
اسکرام مستر,همکاران سیستم | System Group,تهران، تهران,قرارداد تماموقت  
تحلیلگر سیستم,داده ورزی سداد |  Sadad Informatics Corp,تهران، تهران,قرارداد تماموقت  
(Senior Back-End Developer(Node.js,دوران ست | DowranSet,تهران، تهران,قرارداد تماموقت  
اسکرام مستر (Scrum Master),اسپارک‌ آپ | Spark Up,تهران، تهران,قرارداد تماموقت  
(Senior Back-End Developer (Java,اسنپ پی | Snapp Pay,تهران، تهران,قرارداد تماموقت  
کارشناس طراحی سایت وردپرس (PHP),تک لدز | Tec Ladz,تهران، تهران,قرارداد پارهوقت  
Senior QA Specialist,اسنپ تریپ | Snapp Trip,تهران، تهران,قرارداد تماموقت  
پشتیبان طراحی سایت,سایت‌ساز پرتال | Portal,تهران، تهران,قرارداد تماموقت  
Senior Back-End Developer (دورکاری),لندین | landin,تهران، تهران,قرارداد دورکاری  
کارشناس آنالیز بدافزار,مرکز تحقیقات صنایع انفورماتیک | Research Center,تهران، تهران,قرارداد تماموقت  
برنامه نویس سایت (آقا-اصفهان),موکبان | Mookeban,اصفهان، اصفهان,قرارداد پارهوقت  
کارشناس تست نرمافزار,دی کامپیوتر | Day Computer,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی فنی (شیفت بامداد),زرین‌پال | ZarinPal,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد بک اند,وایزاَد | WiseAd,تهران، تهران,قرارداد تماموقت  
Back-End Developer,تریپ | Trip,تهران، تهران,قرارداد تماموقت  
برنامهنویس Django (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس (Full-Stack (.NET,بهینه پردازش سپهر پارس | Behineh Pardazesh Sepehr Pars,تهران، تهران,قرارداد تماموقت  
پشتیبان نرمافزار,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
مدیر تولید نرمافزار,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
برنامهنویس #C,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
تیم لید NET.,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
برنامهنویس وب (Net.),فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
DBA Tech Lead,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End,حاصل نوین | Haselnovin,تهران، تهران,قرارداد تماموقت  
Net Core Developer. (قم),پارسینا پردازان آریا | Parsina Co.,قم، قم,قرارداد تماموقت  
Data & AI Project Manager,تخفیفان - نت برگ  | Takhfifan-Netbarg,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار (آزمونگر-پردیس),داتین | Dotin,تهران، تهران,قرارداد تماموقت  
کارشناس فروش نرمافزار,نرم افزاری آدا | Ada Company,تهران، تهران,قرارداد تماموقت  
Android Developer,مهندسین مشاور نظم آران | Nazmaran Consultant Engineers Co,تهران، تهران,قرارداد تماموقت  
کارشناس وب سایت و سئو,نرم افزاری آدا | Ada Company,تهران، تهران,قرارداد تماموقت  
Senior Data Scientist,پراپرتی چی‌پی‌تی | PropertyGPT Tech,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack (JavaScript) Developer,پراپرتی چی‌پی‌تی | PropertyGPT Tech,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی (AI),پراپرتی چی‌پی‌تی | PropertyGPT Tech,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Back-End (آقا),پارس پی | Pars Pay,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایتون (Python-رشت),موسسه شتابدهی استعداد پل استار | Paul Star Talent Acceleration Institute,گیلان، رشت,قرارداد تماموقت  
برنامهنویس .NET,نقش آوا تک | Naqshavatech,تهران، تهران,قرارداد تماموقت  
برنامهنویس Laravel) PHP-مشهد),افرا داده | Afra Dade,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس طراحی سایت (وردپرس),تک لدز | Tec Ladz,تهران، تهران,قرارداد پارهوقت  
توسعهدهنده وردپرس (دورکاری),ام آی ای | MIE-incomplete,تهران، تهران,قرارداد دورکاری  
برنامهنویس فرانت اند (Front-End),مرکز تحقیقاتی پرنیان | Parnian,تهران، تهران,قرارداد تماموقت  
برنامهنویس لاراول (رشت),گروه طراحی کاریزمانو | Karizmano,گیلان، رشت,قرارداد تماموقت  
برنامه نویس اپلیکیشن موبایل  React Native (اصفهان),ساینا سیسستم اسپادان | Sayna System Espadan,اصفهان، اصفهان,قرارداد تماموقت  
کارشناس پشتیبانی نرم افزار (آقا),حساب رایان پارس | Hesab Rayan Pars,تهران، تهران,قرارداد تماموقت  
اسکرام مستر,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
کارآموز تست نرمافزار,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
کارآموز برنامهنویسی #C,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End,تعاونی ماشین دوخت قهرود ایران جک | Iran Jack,تهران، تهران,قرارداد تماموقت  
توسعهدهنده سمت سرور (تبریز),سترگ اندیشه ایرانیان | Setorg Andisheh Iranian,آذربایجان شرقی، تبریز,قرارداد تماموقت  
کارشناس ارشد هوش تجاری (BI),فلای تودی | Flytoday,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Java),موسسه فرهنگی تبلیغاتی بهمن سبز | Bahman Sabz,تهران، تهران,قرارداد تماموقت  
Full Stack Web Specialist,مجموعه رستوران های اسپیو | SPO,تهران، تهران,قرارداد تماموقت  
کارشناس سئو (SEO-مشهد),کد استور پرو | CodeStorePro,خراسان رضوی، مشهد,قرارداد پارهوقت  
کارشناس پشتیبانی نرم افزار,رهپویان پردازش گستر صحرا  | Rahpooyan Pardazesh Gostar Sahra,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Python (امریه-آقا),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,تهران، تهران,قرارداد تماموقت  
Senior .Net Developer (آقا),مُتَمایِز | Motamayez,تهران، تهران,قرارداد تماموقت  
MidLevel Back-End Developer (رشت),کلاسه | Classeh,گیلان، رشت,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی نرمافزار (آقا),مهندسی فناوری اطلاعات پرتو بیتا  | Parto Bita Information Technology Engineering,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار (QA),مهندسی فناوری اطلاعات پرتو بیتا  | Parto Bita Information Technology Engineering,تهران، تهران,قرارداد تماموقت  
.NET Developer,مهیمن | Mohaymen,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایگاه داده (Oracle),مهیمن | Mohaymen,تهران، تهران,قرارداد تماموقت  
کارشناس مستندساز نرمافزار,فرافن فرزان | FaraFanFarzan,تهران، تهران,قرارداد تماموقت  
کارگردان تیزر تبلیغاتی,گروه تبلیغاتی ایده | Ideh Group,تهران، تهران,قرارداد تماموقت  
پشتیبان سایت,آموزشگاه فنی و حرفه ای علوی | Alavi technical and vocational education and training,تهران، تهران,قرارداد تماموقت  
