title,company,location,contract
مهندس فولاستک سینیور (Python/Django-DRF),اکسیراز | Exiraz,تهران، تهران,قرارداد تماموقت  
(Senior Back-End Developer (Python,پراپرتی چی‌پی‌تی | PropertyGPT Tech,تهران، تهران,قرارداد تماموقت  
اسکرام مستر (Scrum Master),حساب رایان پارس | Hesab Rayan Pars,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد MVC.NET,حساب رایان پارس | Hesab Rayan Pars,تهران، تهران,قرارداد تماموقت  
توسعهدهنده ارشد فرانتاند (Front-End Team Lead-بابلسر),شرکت امن گران هوش پارسیان | Hoosh Parsian,مازندران، بابلسر,قرارداد تماموقت  
تحلیلگر سیستم,توسعه سامانه‌های نرم‌افزاری نگین (توسن) | Tosan,تهران، تهران,قرارداد تماموقت  
کارشناس هوش تجاری (BI),داده کاوان توسن | Tosan Intelligent Data Miners,تهران، تهران,قرارداد تماموقت  
Senior Java Developer,دانش رفاه پردیس | Danesh Refah Pardis,تهران، تهران,قرارداد تماموقت  
(Technical Team Lead(Java,شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
PHP) Back-End Developer-مشهد),اقامت 24 | Eghamat24,خراسان رضوی، مشهد,قرارداد تماموقت  
مهندس پایگاه داده,داده کاوان توسن | Tosan Intelligent Data Miners,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی فنی نرمافزار,راهکار طب آزما | Lab Solutions,تهران، تهران,قرارداد تماموقت  
Technical Support (مشهد),سرزمین هوشمند پاد | Pod,خراسان رضوی، مشهد,قرارداد تماموقت  
Associate Product Manager(شیراز),نوین دو | Novin Dev,فارس، شیراز,قرارداد تماموقت  
Technical Support,سرزمین هوشمند پاد | Pod,تهران، تهران,قرارداد تماموقت  
کارآموز برنامهنویسی لاراول,فناوری های دیاکو پردازش | Dyaco Pardazesh Technology,تهران، تهران,قرارداد تماموقت  
کارآموز محصول (حوزه توسعه نرم افزار ERP),رایان یافته رسا آموز | RIRA,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد توسعه منابع انسانی (خانم),رهپویان پردازش گستر صحرا  | Rahpooyan Pardazesh Gostar Sahra,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer,نبکا | Nebka,تهران، تهران,قرارداد تماموقت  
ادمین جیرا (Jira Administration),مهیمن | Mohaymen,تهران، تهران,قرارداد تماموقت  
Senior Software Engineer (Golang),مدیاژ | Modiage,تهران، تهران,قرارداد تماموقت  
مدیر تضمین کیفیت (محصول مودم LTE/4G-خانم),آرکا ارتباط امیرکبیر | Arka ertebat amirkabir,تهران، تهران,قرارداد تماموقت  
کارشناس فنی و پشتیبانی سایت,رسانتو | Resanto,تهران، تهران,قرارداد تماموقت  
برنامه نویس C++) Qt-آقا-اصفهان),پرواز کنترل سپاهان | Parvaz Control Sepahan,اصفهان، اصفهان,قرارداد تماموقت  
متخصص Embedded Linux (آقا-اصفهان),پرواز کنترل سپاهان | Parvaz Control Sepahan,اصفهان، اصفهان,قرارداد تماموقت  
Back-End) Senior Java Developer),سفرمارکت | Safarmarket,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی و عملیات نرم افزار (آقا),دانا پرداز  | DANA PARDAZ,تهران، تهران,قرارداد تماموقت  
(Senior Back-End Developer(Node.js,دانش اندیشان قرن آسیا | Danesh Andishan,تهران، تهران,قرارداد تماموقت  
توسعه دهنده C#) .Net Core-دورکاری),داده نگار  | Dade Negar,تهران، تهران,قرارداد دورکاری  
کارشناس تست نرمافزار (QA),پرسال | Persol,تهران، تهران,قرارداد تماموقت  
