title,company,location,contract
Senior Angular Developer (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
Senior .Net Developer,فناپ | Fanap,تهران، تهران,قرارداد تماموقت  
طراح سایت (Wordpress),دیجیتال مارکتینگ کندو | Candoo Digital Marketing Group,تهران، تهران,قرارداد پارهوقت  
Laravel) PHP Developer-شیراز),آدرین ارتباط | AdrianErtebat,فارس، شیراز,قرارداد تماموقت  
برنامه نویس PHP,کارگاه توسعه نرم افزار گردون | Gardoon,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End (دورکاری),اپتک | Apptech,تهران، تهران,قرارداد دورکاری  
برنامهنویس (Back-End (PHP,آرتان تجارت تورال سنا | Artan Tejarat Toral Sana Co,تهران، تهران,قرارداد تماموقت  
برنامهنویس Net Core.) Back-End),موربیت | Morbit,تهران، تهران,قرارداد تماموقت  
برنامه نویس بک اند,نانو طب | Nanoteb,تهران، تهران,قرارداد تماموقت  
توسعهدهنده وردپرس,تک لدز | Tec Ladz,تهران، تهران,قرارداد پارهوقت  
Frontend Developer (NuxtJS-دولت آباد-اصفهان),الکترونیک رهرو ماهان | Electronic Rahro Mahan,اصفهان، دولت آباد-اصفهان,قرارداد تماموقت  
Firmware Developer (مشهد),زیست فناوران اندیشه رستاک | zist fannavaran andishe rastak,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس نرمافزار (کرج),ماهان تراشه | Mahan Tarashe,البرز، کرج,قرارداد تماموقت  
مهندس نرم افزار هوش مصنوعی (آقا),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer-شیراز),کافه ارز | Cafearz,فارس، شیراز,قرارداد تماموقت  
Technical Team Lead (Golang),رابکس | Rabex,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد لاراول (Senior Laravel),وب نگاه | Web Negah,تهران، تهران,قرارداد تماموقت  
پژوهشگر / محقق (آقا),داده پردازی نوین | Dew Data Proccesing,تهران، تهران,قرارداد تماموقت  
برنامهنویس Node.JS,بادونو | Baduno,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Kotlin,نوین هاب | Novinhub,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد فلاتر (Senior Flutter Developer),وب نگاه | Web Negah,تهران، تهران,قرارداد تماموقت  
(Software Engineer (Back-End,زرینو | Zarrino,تهران، تهران,قرارداد تماموقت  
برنامه نویس فلاتر (آقا-رشت),گروه طراحی کاریزمانو | Karizmano,گیلان، رشت,قرارداد تماموقت  
توسعهدهنده وردپرس (Wordpress-اصفهان),ماهر محور موفقیت | Maher the axis of success,اصفهان، اصفهان,قرارداد تماموقت  
پشتیبان سایت ورپرس (دورکاری),نوویر | Nuvior,تهران، تهران,قرارداد دورکاری  
(Senior Back-End Developer (Node.js,داده کاوان هوشمند نارگان | Datall,تهران، تهران,قرارداد تماموقت  
